arch,case_id,klass,klass_name,dice,hd95
baseline,pancreas_166,2,mass,0.41509,19.01705
baseline,pancreas_309,1,pancreas,0.54854,2.23607
baseline,pancreas_309,2,mass,0.0,15.3818
baseline,pancreas_204,1,pancreas,0.46833,6.48074
baseline,pancreas_204,2,mass,0.27609,4.24264
sea,pancreas_382,1,pancreas,0.73742,4.89898
sea,pancreas_382,2,mass,0.0,23.75919
sea,pancreas_157,1,pancreas,0.78204,1.41421
sea,pancreas_157,2,mass,0.3557,7.0
sea,pancreas_375,1,pancreas,0.74447,1.73205
sea,pancreas_375,2,mass,0.01047,13.58491
sea,pancreas_094,1,pancreas,0.58379,9.38083
sea,pancreas_094,2,mass,0.0,21.84604
sea,pancreas_313,1,pancreas,0.62035,2.23607
sea,pancreas_313,2,mass,0.01329,21.13644
sea,pancreas_243,1,pancreas,0.62598,2.23607
sea,pancreas_243,2,mass,0.06728,14.03567
sea,pancreas_197,1,pancreas,0.59051,16.12452
sea,pancreas_197,2,mass,0.41176,2.32492
sea,pancreas_110,1,pancreas,0.54748,3.74166
sea,pancreas_110,2,mass,0.0,17.9722
sea,pancreas_135,1,pancreas,0.34891,10.48809
sea,pancreas_135,2,mass,0.50276,9.98972
sea,pancreas_369,1,pancreas,0.65369,3.31662
sea,pancreas_369,2,mass,0.0,9.40209
sea,pancreas_001,1,pancreas,0.59742,3.0
sea,pancreas_001,2,mass,0.17751,5.39437
sea,pancreas_069,1,pancreas,0.49003,8.60233
sea,pancreas_069,2,mass,0.09583,5.19615
sea,pancreas_211,1,pancreas,0.63665,2.93995
sea,pancreas_211,2,mass,0.10169,4.5384
sea,pancreas_120,1,pancreas,0.46015,29.22328
sea,pancreas_120,2,mass,0.11382,23.19905
sea,pancreas_354,1,pancreas,0.09909,23.5372
sea,pancreas_354,2,mass,0.0,32.15587
sea,pancreas_159,1,pancreas,0.70469,3.74166
sea,pancreas_159,2,mass,0.58696,2.66969
sea,pancreas_343,1,pancreas,0.50834,5.09902
sea,pancreas_343,2,mass,0.0,9.46626
sea,pancreas_106,1,pancreas,0.43979,8.06226
sea,pancreas_106,2,mass,0.0,32.19233
sea,pancreas_372,1,pancreas,0.50828,5.47723
sea,pancreas_372,2,mass,0.0,20.17297
sea,pancreas_015,1,pancreas,0.7428,2.23607
sea,pancreas_015,2,mass,0.36017,6.0
sea,pancreas_386,1,pancreas,0.72019,3.0
sea,pancreas_386,2,mass,0.0,18.83064
sea,pancreas_037,1,pancreas,0.55644,4.69042
sea,pancreas_037,2,mass,0.0,14.73601
sea,pancreas_350,1,pancreas,0.69508,2.44949
sea,pancreas_350,2,mass,0.10667,10.22494
sea,pancreas_187,1,pancreas,0.65888,6.25249
sea,pancreas_187,2,mass,0.0,
sea,pancreas_285,1,pancreas,0.73379,1.41421
sea,pancreas_285,2,mass,0.43609,11.0
sea,pancreas_122,1,pancreas,0.59815,3.4641
sea,pancreas_122,2,mass,0.03529,10.3923
sea,pancreas_183,1,pancreas,0.55903,2.82843
sea,pancreas_183,2,mass,0.02439,4.4806
sea,pancreas_199,1,pancreas,0.74134,2.44949
sea,pancreas_199,2,mass,0.22785,20.88658
sea,pancreas_074,1,pancreas,0.39316,8.0
sea,pancreas_074,2,mass,0.0,
sea,pancreas_291,1,pancreas,0.77623,1.73205
sea,pancreas_291,2,mass,0.8169,1.0
sea,pancreas_215,1,pancreas,0.73893,4.0
sea,pancreas_215,2,mass,0.0354,5.865
sea,pancreas_049,1,pancreas,0.65775,3.4641
sea,pancreas_049,2,mass,0.54741,10.8624
sea,pancreas_077,1,pancreas,0.69159,2.23607
sea,pancreas_077,2,mass,0.5,4.09233
sea,pancreas_207,1,pancreas,0.74885,3.16228
sea,pancreas_207,2,mass,0.30769,3.60555
sea,pancreas_114,1,pancreas,0.53014,4.32983
sea,pancreas_114,2,mass,0.325,4.12311
sea,pancreas_166,1,pancreas,0.77926,1.0
sea,pancreas_166,2,mass,0.07805,21.75545
sea,pancreas_309,1,pancreas,0.61733,2.23607
sea,pancreas_309,2,mass,0.0459,15.61568
sea,pancreas_204,1,pancreas,0.41074,9.0
sea,pancreas_204,2,mass,0.4,3.0
fresnel,pancreas_382,1,pancreas,0.75918,2.23607
fresnel,pancreas_382,2,mass,0.0,
fresnel,pancreas_157,1,pancreas,0.76052,2.0
fresnel,pancreas_157,2,mass,0.33939,3.08114
fresnel,pancreas_375,1,pancreas,0.75,2.23607
fresnel,pancreas_375,2,mass,0.0,13.66747
fresnel,pancreas_094,1,pancreas,0.71861,7.14143
fresnel,pancreas_094,2,mass,0.0,15.69071
fresnel,pancreas_313,1,pancreas,0.61122,5.19615
fresnel,pancreas_313,2,mass,0.152,20.67122
fresnel,pancreas_243,1,pancreas,0.64424,3.49239
fresnel,pancreas_243,2,mass,0.35922,12.07683
fresnel,pancreas_197,1,pancreas,0.56783,11.54549
fresnel,pancreas_197,2,mass,0.0,11.21158
fresnel,pancreas_110,1,pancreas,0.66768,3.16228
fresnel,pancreas_110,2,mass,0.0,17.94434
fresnel,pancreas_135,1,pancreas,0.38628,9.69536
fresnel,pancreas_135,2,mass,0.09353,14.06222
fresnel,pancreas_369,1,pancreas,0.57781,8.77496
fresnel,pancreas_369,2,mass,0.0,20.20373
fresnel,pancreas_001,1,pancreas,0.58462,3.16228
fresnel,pancreas_001,2,mass,0.14799,6.40312
fresnel,pancreas_069,1,pancreas,0.4058,7.68115
fresnel,pancreas_069,2,mass,0.00897,6.38741
fresnel,pancreas_211,1,pancreas,0.62454,3.31662
fresnel,pancreas_211,2,mass,0.21951,8.54709
fresnel,pancreas_120,1,pancreas,0.50498,16.96613
fresnel,pancreas_120,2,mass,0.19512,8.90115
fresnel,pancreas_354,1,pancreas,0.22716,6.7082
fresnel,pancreas_354,2,mass,0.30651,5.38977
fresnel,pancreas_159,1,pancreas,0.62421,4.47214
fresnel,pancreas_159,2,mass,0.66667,12.83147
fresnel,pancreas_343,1,pancreas,0.55872,4.69042
fresnel,pancreas_343,2,mass,0.0,9.0
fresnel,pancreas_106,1,pancreas,0.54323,7.07107
fresnel,pancreas_106,2,mass,0.0,33.70458
fresnel,pancreas_372,1,pancreas,0.40499,6.40312
fresnel,pancreas_372,2,mass,0.0,
fresnel,pancreas_015,1,pancreas,0.66569,3.60555
fresnel,pancreas_015,2,mass,0.11579,13.08811
fresnel,pancreas_386,1,pancreas,0.74084,1.73205
fresnel,pancreas_386,2,mass,0.0,18.92697
fresnel,pancreas_037,1,pancreas,0.57936,4.24264
fresnel,pancreas_037,2,mass,0.0,24.58858
fresnel,pancreas_350,1,pancreas,0.72799,2.0
fresnel,pancreas_350,2,mass,0.0,11.13095
fresnel,pancreas_187,1,pancreas,0.64085,7.0
fresnel,pancreas_187,2,mass,0.0,35.73514
fresnel,pancreas_285,1,pancreas,0.70242,2.0
fresnel,pancreas_285,2,mass,0.51852,9.21954
fresnel,pancreas_122,1,pancreas,0.64214,3.23173
fresnel,pancreas_122,2,mass,0.29536,4.24264
fresnel,pancreas_183,1,pancreas,0.57383,3.31662
fresnel,pancreas_183,2,mass,0.0,
fresnel,pancreas_199,1,pancreas,0.72251,2.23607
fresnel,pancreas_199,2,mass,0.57769,16.76305
fresnel,pancreas_074,1,pancreas,0.5317,5.38516
fresnel,pancreas_074,2,mass,0.06897,7.28011
fresnel,pancreas_291,1,pancreas,0.71483,1.73205
fresnel,pancreas_291,2,mass,0.55708,1.9866
fresnel,pancreas_215,1,pancreas,0.70698,4.0
fresnel,pancreas_215,2,mass,0.23318,7.24906
fresnel,pancreas_049,1,pancreas,0.67477,3.0
fresnel,pancreas_049,2,mass,0.29209,12.16553
fresnel,pancreas_077,1,pancreas,0.68212,2.44949
fresnel,pancreas_077,2,mass,0.12977,4.47214
fresnel,pancreas_207,1,pancreas,0.73923,3.60555
fresnel,pancreas_207,2,mass,0.40244,3.0
fresnel,pancreas_114,1,pancreas,0.63643,3.60555
fresnel,pancreas_114,2,mass,0.0,13.47455
fresnel,pancreas_166,1,pancreas,0.77834,1.0
fresnel,pancreas_166,2,mass,0.07,20.56441
fresnel,pancreas_309,1,pancreas,0.57509,2.92279
fresnel,pancreas_309,2,mass,0.0118,14.47058
fresnel,pancreas_204,1,pancreas,0.49011,6.40312
fresnel,pancreas_204,2,mass,0.29973,4.26008
edgeatt,pancreas_382,1,pancreas,0.72288,2.23607
edgeatt,pancreas_382,2,mass,0.0,25.7031
edgeatt,pancreas_157,1,pancreas,0.77387,1.73205
edgeatt,pancreas_157,2,mass,0.29947,9.0
edgeatt,pancreas_375,1,pancreas,0.74049,2.44949
edgeatt,pancreas_375,2,mass,0.0,13.38467
edgeatt,pancreas_094,1,pancreas,0.62608,5.91608
edgeatt,pancreas_094,2,mass,0.0017,24.37212
edgeatt,pancreas_313,1,pancreas,0.60593,2.44949
edgeatt,pancreas_313,2,mass,0.13165,20.53521
edgeatt,pancreas_243,1,pancreas,0.68161,2.0
edgeatt,pancreas_243,2,mass,0.0,15.04324
edgeatt,pancreas_197,1,pancreas,0.55637,17.79569
edgeatt,pancreas_197,2,mass,0.37255,2.36412
edgeatt,pancreas_110,1,pancreas,0.66787,3.60555
edgeatt,pancreas_110,2,mass,0.0,12.4499
edgeatt,pancreas_135,1,pancreas,0.42515,5.86075
edgeatt,pancreas_135,2,mass,0.06332,14.81545
edgeatt,pancreas_369,1,pancreas,0.60152,3.74166
edgeatt,pancreas_369,2,mass,0.0,10.70979
edgeatt,pancreas_001,1,pancreas,0.67813,2.23607
edgeatt,pancreas_001,2,mass,0.43077,3.31662
edgeatt,pancreas_069,1,pancreas,0.54538,4.89898
edgeatt,pancreas_069,2,mass,0.0,
edgeatt,pancreas_211,1,pancreas,0.65667,3.0
edgeatt,pancreas_211,2,mass,0.22785,3.16228
edgeatt,pancreas_120,1,pancreas,0.52938,5.09902
edgeatt,pancreas_120,2,mass,0.0,9.40641
edgeatt,pancreas_354,1,pancreas,0.56088,2.44949
edgeatt,pancreas_354,2,mass,0.01878,5.91608
edgeatt,pancreas_159,1,pancreas,0.71382,4.12311
edgeatt,pancreas_159,2,mass,0.63102,2.39613
edgeatt,pancreas_343,1,pancreas,0.49906,4.69042
edgeatt,pancreas_343,2,mass,0.07407,9.28707
edgeatt,pancreas_106,1,pancreas,0.51142,12.05398
edgeatt,pancreas_106,2,mass,0.0,35.56051
edgeatt,pancreas_372,1,pancreas,0.62022,3.74166
edgeatt,pancreas_372,2,mass,0.0,14.71052
edgeatt,pancreas_015,1,pancreas,0.6661,3.0
edgeatt,pancreas_015,2,mass,0.18304,9.0774
edgeatt,pancreas_386,1,pancreas,0.6406,2.23607
edgeatt,pancreas_386,2,mass,0.0,18.93907
edgeatt,pancreas_037,1,pancreas,0.54415,5.38516
edgeatt,pancreas_037,2,mass,0.0,13.60147
edgeatt,pancreas_350,1,pancreas,0.67967,6.7082
edgeatt,pancreas_350,2,mass,0.21505,2.42815
edgeatt,pancreas_187,1,pancreas,0.63016,4.58258
edgeatt,pancreas_187,2,mass,0.0,
edgeatt,pancreas_285,1,pancreas,0.66552,1.73205
edgeatt,pancreas_285,2,mass,0.22439,11.04536
edgeatt,pancreas_122,1,pancreas,0.69001,2.23607
edgeatt,pancreas_122,2,mass,0.41063,7.61577
edgeatt,pancreas_183,1,pancreas,0.61454,2.44949
edgeatt,pancreas_183,2,mass,0.02439,6.16441
edgeatt,pancreas_199,1,pancreas,0.67411,1.73205
